Name,Country
Mario Balotelli,Italy
Romelu Lukaku,Belgium
Edinson Cavani,Uruguay
Jo de Assis Silva,Brazil
Arjen Robben,Netherlands
Lionel Messi,Argentina
Max Kruse,Germany
Teofilo Guitierrez,Colombia
Alvaro Negredo,Spain
Marco Reus,Germany
Michu,Spain
Sergio Aguero,Argentina
Eden Hazard,Belgium
Mesut Ozil,Germany
Franck Ribery,France
Isco,Spain
Arturo Vidal,Chile
Diego Forlan,Uruguay
Fred,Brazil
Wilfried Bony,Ivory Coast
Mario Mandzukic,Croatia
Yaya Toure,Ivory Coast
Gonzalo Higuain,Argentina
Felipe Caicedo,Ecuador
Hulk,Brazil
Thomas Muller,Germany
Alexandre Pato,Brazil
Miroslav Klose,Germany
Mario Gomez,Germany
Christian Benteke,Belgium
Neymar,Brazil
Fernando Torres,Spain
Wayne Rooney,England
Karim Benzema,France
David Villa,Spain
Oscar,Brazil
Olivier Giroud,France
Cristiano Ronaldo,Argentina
Ezequiel Lavezzi,Argentina
Klaas Jan Huntelaar,Netherlands
Pedro Ledesma,Spain
Teofilo Gutierrez,Colombia
Robinho,Brazil
Edin Dzeko,Bosnia
Jackson Martinez,Colombia
Jeremain Lens,Netherlands
Lukas Podolski,Germany
Daniel Sturridge,England
Luis Suarez,Uruguay
Roberto Soldado,Spain
Andre Schurrle,Germany
Cesc Fabregas,Spain
Eduardo Vargas,Chile
James Rodriguez,Colombia
Mario Goetze,Germany
Alexis Sanchez,Chile
Giuseppe Rossi,Italy
Didier Drogba,Ivory Coast
Javier Hernandez,Mexico
Carlos Bacca,Colombia
Angel Di Maria,Argentina
Vedad Ibisevic,Bosnia
Alexander Kerzhakov,Russia
Radamel Falcao,Colombia
Robin Van Persie,Netherlands
Diego Costa,Spain